60 2
16.345	25.866
30.531	22.469
10.392	12.261
23.267	21.888
17.117	21.844
20.534	40.140
6.776	12.148
24.368	33.913
24.669	5.312
16.892	30.042
4.621	38.967
17.243	2.037
14.288	28.993
24.165	40.279
18.618	35.537
24.516	1.345
23.290	48.489
2.961	49.573
11.491	18.471
23.723	5.149
64.791	93.732
34.188	93.645
47.082	51.287
37.149	62.352
62.506	52.749
34.422	55.449
45.396	79.409
57.628	67.031
54.608	74.422
34.612	69.631
54.415	85.325
37.049	66.326
65.731	94.388
61.279	58.987
64.250	67.955
40.328	79.908
49.561	67.487
35.771	73.724
43.314	65.236
59.195	50.245
98.389	7.467
66.923	18.874
91.042	39.458
85.016	48.038
92.916	35.639
94.812	16.148
94.859	40.408
78.560	7.145
90.366	16.070
83.742	4.306
86.004	26.799
86.966	42.457
94.065	7.483
85.473	10.452
95.689	24.343
72.921	14.550
69.665	16.803
84.412	19.950
74.016	26.711
80.249	25.808
