60 2
5.898	6.500
3.461	21.301
14.876	11.839
40.514	4.540
5.715	27.584
35.020	40.882
33.762	40.504
45.771	39.468
37.667	29.629
43.838	40.663
14.943	11.323
21.452	9.883
44.643	25.080
32.050	11.519
35.123	16.605
29.687	98.762
37.386	85.353
1.775	53.496
10.578	96.408
43.580	90.602
13.487	75.849
27.437	97.522
45.831	58.677
3.588	91.053
10.201	86.387
20.120	71.624
28.400	83.323
25.358	81.781
17.448	52.995
24.575	72.990
97.059	70.368
91.820	98.648
61.437	66.491
81.636	70.537
63.797	77.022
80.886	98.210
99.944	78.233
70.916	85.741
71.005	96.843
93.627	59.025
57.409	83.953
66.850	63.603
56.459	96.623
84.215	65.886
56.908	81.585
95.396	19.351
59.086	14.971
72.985	31.435
71.856	34.398
51.307	43.277
56.072	34.806
75.131	33.846
98.914	37.662
79.517	30.843
61.174	32.725
64.779	24.786
81.206	49.290
74.535	43.257
65.382	24.970
51.129	47.041
