60 2 10
0	5.898000	6.500000	
1	3.461000	21.301000	
2	14.876000	11.839000	
3	40.514000	4.540000	
1	5.715000	27.584000	
8	35.020000	40.882000	
8	33.762000	40.504000	
8	45.771000	39.468000	
8	37.667000	29.629000	
8	43.838000	40.663000	
2	14.943000	11.323000	
2	21.452000	9.883000	
8	44.643000	25.080000	
3	32.050000	11.519000	
3	35.123000	16.605000	
5	29.687000	98.762000	
5	37.386000	85.353000	
4	1.775000	53.496000	
6	10.578000	96.408000	
5	43.580000	90.602000	
6	13.487000	75.849000	
5	27.437000	97.522000	
8	45.831000	58.677000	
6	3.588000	91.053000	
6	10.201000	86.387000	
6	20.120000	71.624000	
5	28.400000	83.323000	
5	25.358000	81.781000	
4	17.448000	52.995000	
6	24.575000	72.990000	
9	97.059000	70.368000	
9	91.820000	98.648000	
9	61.437000	66.491000	
9	81.636000	70.537000	
9	63.797000	77.022000	
9	80.886000	98.210000	
9	99.944000	78.233000	
9	70.916000	85.741000	
9	71.005000	96.843000	
7	93.627000	59.025000	
9	57.409000	83.953000	
9	66.850000	63.603000	
9	56.459000	96.623000	
9	84.215000	65.886000	
9	56.908000	81.585000	
7	95.396000	19.351000	
3	59.086000	14.971000	
7	72.985000	31.435000	
7	71.856000	34.398000	
8	51.307000	43.277000	
8	56.072000	34.806000	
7	75.131000	33.846000	
7	98.914000	37.662000	
7	79.517000	30.843000	
8	61.174000	32.725000	
8	64.779000	24.786000	
7	81.206000	49.290000	
7	74.535000	43.257000	
8	65.382000	24.970000	
8	51.129000	47.041000	
